,City Group,Type,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,revenue
10,1,0,9,6.0,6.0,6.0,4,4,10,8,10,10,8,10,7.5,0,0,0,0,0,25,15,15,3,20,0,0,0.0,0.0,10.0,2.5,0,0,0,0,0,0,0,0,3745135.0
11,0,1,2,4.0,4.0,4.0,2,5,5,5,5,5,2,5,5.0,2,2,5,2,4,2,5,1,1,3,5,2,3.0,5.0,3.0,3.0,5,5,4,2,3,4,4,2,5161370.0
12,0,1,2,2.0,4.0,4.0,2,1,5,4,5,5,3,5,5.0,0,0,0,0,0,3,4,1,2,2,0,0,0.0,0.0,1.0,3.0,0,0,0,0,0,0,0,0,1734634.0
13,0,0,4,5.0,4.0,4.0,1,3,5,5,5,5,2,5,5.0,0,0,0,0,0,3,4,1,2,1,0,0,0.0,0.0,3.0,3.0,0,0,0,0,0,0,0,0,4807746.0
14,1,0,2,2.0,4.0,4.0,1,2,5,5,5,5,2,5,5.0,0,0,0,0,0,3,3,1,3,2,0,0,0.0,0.0,2.0,3.0,0,0,0,0,0,0,0,0,1999097.0
15,0,1,12,7.5,6.0,6.0,2,10,10,10,10,10,4,10,7.5,3,10,15,3,12,10,9,3,2,5,8,8,10.0,2.5,7.5,7.5,5,15,20,2,12,3,16,4,3218918.0
16,0,0,3,5.0,4.0,4.0,2,5,5,4,5,4,3,5,4.0,0,0,0,0,0,1,4,1,1,1,0,0,0.0,0.0,2.0,2.0,0,0,0,0,0,0,0,0,19696939.0
17,0,0,2,4.0,4.0,5.0,1,3,5,4,5,5,3,5,5.0,0,0,0,0,0,1,1,1,1,1,0,0,0.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,8213524.0
18,0,1,4,5.0,4.0,3.0,1,2,5,5,5,5,2,5,5.0,3,2,3,2,3,4,5,1,4,2,5,3,3.0,3.0,2.0,3.0,3,5,5,4,4,4,3,2,5337526.0
19,1,1,2,4.0,4.0,4.0,2,2,5,5,4,4,1,3,4.0,0,0,0,0,0,2,1,1,1,1,0,0,0.0,0.0,2.0,3.0,0,0,0,0,0,0,0,0,2021934.0
20,1,1,3,4.0,4.0,4.0,2,2,5,4,5,5,3,5,5.0,3,5,5,4,4,5,5,1,1,5,2,4,1.0,5.0,1.0,3.0,5,1,2,2,4,5,5,4,5525735.0
21,0,0,5,5.0,4.0,4.0,2,2,5,4,4,4,4,3,4.0,0,0,0,0,0,4,5,1,3,1,0,0,0.0,0.0,3.0,1.0,0,0,0,0,0,0,0,0,1149870.0
22,1,0,9,6.0,6.0,6.0,4,6,10,10,10,10,2,10,7.5,0,0,0,0,0,15,12,3,3,10,0,0,0.0,0.0,7.5,7.5,0,0,0,0,0,0,0,0,3956086.0
23,1,0,2,4.0,4.0,4.0,2,2,5,3,4,4,5,4,4.0,0,0,0,0,0,2,2,1,1,1,0,0,0.0,0.0,2.0,3.0,0,0,0,0,0,0,0,0,2999068.0
24,0,1,5,5.0,3.0,5.0,2,2,5,5,5,4,2,5,4.0,4,4,4,5,4,5,5,2,2,3,2,2,2.0,5.0,3.0,2.0,5,5,4,4,4,4,5,2,8904084.0
25,1,0,4,4.0,5.0,5.0,2,2,5,5,5,5,2,5,5.0,0,0,0,0,0,3,1,2,1,1,0,0,0.0,0.0,2.0,3.0,0,0,0,0,0,0,0,0,3778621.0
26,0,1,3,5.0,4.0,5.0,2,3,5,3,5,4,5,5,4.0,3,4,4,1,4,5,5,2,3,2,2,2,2.0,1.0,3.0,3.0,5,5,4,3,3,4,3,1,2267425.0
27,1,0,4,5.0,4.0,3.0,1,2,5,4,4,5,4,4,5.0,0,0,0,0,0,5,5,5,5,5,0,0,0.0,0.0,4.0,3.0,0,0,0,0,0,0,0,0,5435276.0
28,0,1,4,5.0,4.0,4.0,1,3,5,5,4,4,2,4,4.0,3,4,4,2,4,5,5,2,4,3,5,3,4.0,2.0,4.0,2.0,3,5,5,2,3,5,4,4,4705945.0
29,0,0,1,1.0,4.0,4.0,2,1,1,4,4,4,5,2,4.0,0,0,0,0,0,1,1,1,1,1,0,0,0.0,0.0,1.0,3.0,0,0,0,0,0,0,0,0,3447890.0
30,1,1,1,1.0,3.0,3.0,2,1,1,5,5,5,2,5,5.0,0,0,0,0,0,1,1,1,1,1,0,0,0.0,0.0,1.0,3.0,0,0,0,0,0,0,0,0,3008199.0
31,0,1,4,5.0,4.0,4.0,1,3,5,5,5,5,2,5,5.0,2,3,3,1,3,4,2,1,2,1,5,2,5.0,2.0,2.0,3.0,4,3,3,2,3,4,3,3,2058644.0
32,1,0,3,4.0,3.0,4.0,3,2,5,4,4,4,3,4,4.0,0,0,0,0,0,5,1,1,1,1,0,0,0.0,0.0,1.0,3.0,0,0,0,0,0,0,0,0,3261924.0
33,1,0,2,3.0,4.0,4.0,2,2,5,5,5,5,1,5,5.0,0,0,0,0,0,3,1,1,2,1,0,0,0.0,0.0,2.0,3.0,0,0,0,0,0,0,0,0,2371202.0
34,0,0,4,5.0,4.0,4.0,1,3,5,4,4,5,4,4,5.0,0,0,0,0,0,1,4,1,2,1,0,0,0.0,0.0,4.0,3.0,0,0,0,0,0,0,0,0,4100886.0
35,1,1,4,5.0,4.0,3.0,1,2,5,4,4,5,5,4,5.0,2,2,4,2,4,5,5,4,3,5,3,3,3.0,4.0,3.0,2.0,4,1,3,3,3,4,3,3,3903884.0
36,0,0,3,5.0,5.0,3.0,1,5,5,5,5,5,2,5,5.0,0,0,0,0,0,2,5,2,4,3,0,0,0.0,0.0,3.0,3.0,0,0,0,0,0,0,0,0,3028267.0
37,0,1,2,3.0,4.0,3.0,1,5,5,5,5,5,1,5,5.0,1,1,2,1,4,1,3,1,2,5,1,1,1.0,1.0,1.0,3.0,5,5,5,3,4,4,3,1,2740687.0
38,0,0,3,5.0,4.0,4.0,2,5,5,4,5,4,3,5,4.0,0,0,0,0,0,1,4,1,1,1,0,0,0.0,0.0,2.0,2.0,0,0,0,0,0,0,0,0,5461700.0
39,0,1,4,5.0,4.0,4.0,2,3,5,4,4,4,4,4,4.0,4,4,3,3,3,3,5,1,2,2,3,3,3.0,1.0,2.0,2.0,4,1,2,2,3,4,3,2,3818055.0
40,0,1,3,5.0,4.0,4.0,2,2,5,1,4,4,5,2,4.0,4,4,4,3,3,5,5,5,1,1,5,5,5.0,1.0,3.0,2.0,5,5,3,3,3,4,3,2,6836483.0
41,0,1,4,5.0,5.0,4.0,1,5,5,3,4,5,5,3,5.0,3,4,5,5,4,5,5,5,5,5,5,3,5.0,1.0,5.0,1.0,5,5,4,3,3,4,4,1,4554237.0
42,0,1,12,7.5,6.0,6.0,4,4,10,8,10,10,6,10,7.5,0,0,0,0,0,25,15,6,4,20,0,0,0.0,0.0,7.5,5.0,0,0,0,0,0,0,0,0,4952255.0
43,0,0,2,4.0,5.0,4.0,1,2,5,5,5,5,2,5,5.0,0,0,0,0,0,1,1,1,2,1,0,0,0.0,0.0,1.0,3.0,0,0,0,0,0,0,0,0,2732645.0
44,0,1,2,3.0,5.0,3.0,1,5,5,5,5,5,1,5,5.0,1,1,3,1,4,1,3,1,2,1,1,1,1.0,1.0,2.0,3.0,3,5,5,2,3,4,3,4,4264176.0
45,1,0,6,6.0,6.0,4.5,2,8,10,10,10,8,4,10,6.0,0,0,0,0,0,5,15,3,2,5,0,0,0.0,0.0,5.0,7.5,0,0,0,0,0,0,0,0,3752885.0
46,0,1,3,5.0,5.0,3.0,1,2,5,5,5,5,2,5,5.0,2,2,4,2,4,2,5,2,4,2,1,1,1.0,4.0,3.0,3.0,5,5,4,2,2,4,3,3,4250758.0
47,0,1,4,5.0,5.0,3.0,1,2,5,4,5,5,3,5,5.0,4,4,3,5,4,3,5,3,5,5,4,4,4.0,4.0,5.0,3.0,4,1,2,2,3,5,5,1,7865428.0
48,1,0,4,5.0,4.0,4.0,2,2,5,4,4,5,4,4,5.0,0,0,0,0,0,5,5,3,3,5,0,0,0.0,0.0,4.0,3.0,0,0,0,0,0,0,0,0,7201784.0
49,0,0,12,7.5,6.0,6.0,2,8,10,10,10,10,4,10,7.5,0,0,0,0,0,15,3,3,3,5,0,0,0.0,0.0,7.5,7.5,0,0,0,0,0,0,0,0,8630682.0
50,0,1,3,5.0,4.0,5.0,3,4,5,4,4,4,5,4,4.0,1,1,2,1,1,5,5,1,3,2,2,2,2.0,1.0,3.0,3.0,5,2,3,2,2,2,3,3,2156098.0
51,1,1,2,2.0,4.0,4.0,2,2,4,4,5,5,4,5,5.0,0,0,0,0,0,5,4,2,1,2,0,0,0.0,0.0,1.0,3.0,0,0,0,0,0,0,0,0,3273041.0
52,1,0,2,3.0,4.0,4.0,2,1,1,4,4,5,3,4,5.0,0,0,0,0,0,1,1,1,1,1,0,0,0.0,0.0,1.0,3.0,0,0,0,0,0,0,0,0,1763231.0
53,1,0,3,4.0,4.0,3.0,1,2,5,5,5,5,2,5,5.0,0,0,0,0,0,2,4,2,1,1,0,0,0.0,0.0,3.0,3.0,0,0,0,0,0,0,0,0,5595267.0
54,1,1,2,4.0,5.0,4.0,1,1,3,4,4,4,4,2,3.0,0,0,0,0,0,1,2,2,1,1,0,0,0.0,0.0,2.0,3.0,0,0,0,0,0,0,0,0,4651866.0
55,0,0,2,4.0,4.0,4.0,1,4,5,5,5,5,1,5,5.0,0,0,0,0,0,1,1,1,1,1,0,0,0.0,0.0,3.0,3.0,0,0,0,0,0,0,0,0,6941173.0
56,0,1,4,5.0,4.0,4.0,2,2,5,4,4,4,5,3,4.0,0,0,0,0,0,4,5,2,2,2,0,0,0.0,0.0,3.0,3.0,0,0,0,0,0,0,0,0,2390534.0
57,1,0,2,3.0,4.0,3.0,1,4,5,5,5,5,2,5,5.0,0,0,0,0,0,1,2,1,1,1,0,0,0.0,0.0,3.0,2.0,0,0,0,0,0,0,0,0,3258837.0
58,0,0,3,4.0,4.0,5.0,2,2,5,5,5,5,2,5,5.0,0,0,0,0,0,1,3,1,3,1,0,0,0.0,0.0,2.0,3.0,0,0,0,0,0,0,0,0,3004429.0
59,0,0,4,5.0,4.0,4.0,1,3,5,5,5,5,2,5,5.0,0,0,0,0,0,3,3,1,3,1,0,0,0.0,0.0,2.0,3.0,0,0,0,0,0,0,0,0,3600467.0
60,0,1,12,7.5,6.0,6.0,2,6,10,8,10,10,6,10,7.5,6,4,9,3,12,10,15,6,3,10,4,4,5.0,2.5,5.0,7.5,10,15,20,4,18,12,12,2,3164972.0
61,0,0,12,7.5,6.0,6.0,4,6,10,8,8,8,6,8,6.0,0,0,0,0,0,15,12,3,2,5,0,0,0.0,0.0,7.5,5.0,0,0,0,0,0,0,0,0,4350573.0
62,1,0,2,4.0,4.0,4.0,2,3,5,5,5,4,2,5,4.0,4,1,2,2,4,3,1,1,1,1,3,3,3.0,1.0,2.0,3.0,1,1,3,2,3,1,3,3,5286212.0
63,1,0,2,2.0,4.0,4.0,3,1,4,5,5,5,2,5,5.0,0,0,0,0,0,2,1,1,1,1,0,0,0.0,0.0,1.0,3.0,0,0,0,0,0,0,0,0,1619683.0
64,0,1,12,7.5,6.0,6.0,2,8,10,10,10,10,4,10,7.5,15,10,15,15,12,10,9,6,3,5,10,10,12.5,5.0,5.0,7.5,20,15,25,4,24,15,20,6,2551252.0
65,0,0,3,5.0,4.0,3.0,1,2,5,5,5,5,1,5,5.0,0,0,0,0,0,1,1,1,1,1,0,0,0.0,0.0,1.0,3.0,0,0,0,0,0,0,0,0,1756069.0
66,1,0,2,2.0,4.0,3.0,1,1,1,4,5,5,3,5,5.0,0,0,0,0,0,4,3,1,1,2,0,0,0.0,0.0,2.0,3.0,0,0,0,0,0,0,0,0,1882131.0
67,0,0,4,5.0,4.0,5.0,2,4,5,4,4,4,3,3,4.0,0,0,0,0,0,5,5,3,5,3,0,0,0.0,0.0,5.0,1.0,0,0,0,0,0,0,0,0,4052733.0
68,0,1,2,4.0,3.0,4.0,2,3,5,5,5,4,1,5,4.0,2,2,2,1,4,2,1,1,2,1,5,3,5.0,5.0,2.0,3.0,5,5,5,4,4,4,3,4,3836721.0
69,1,1,2,2.0,4.0,5.0,4,2,5,5,5,5,1,5,5.0,0,0,0,0,0,3,1,1,2,1,0,0,0.0,0.0,2.0,3.0,0,0,0,0,0,0,0,0,3452382.0
70,0,0,4,5.0,4.0,4.0,1,4,5,5,5,5,2,5,5.0,0,0,0,0,0,3,5,1,4,2,0,0,0.0,0.0,3.0,3.0,0,0,0,0,0,0,0,0,3982767.0
71,0,1,12,7.5,6.0,6.0,2,10,10,10,10,10,4,10,7.5,9,8,12,3,12,10,9,6,3,5,8,8,10.0,10.0,10.0,7.5,5,6,10,6,18,12,12,6,4136425.0
72,0,1,3,5.0,4.0,4.0,2,2,5,3,4,5,5,4,5.0,3,2,3,1,4,4,5,5,3,5,5,2,5.0,3.0,5.0,1.0,4,3,3,2,3,4,3,1,2525375.0
73,0,0,4,5.0,4.0,5.0,2,2,5,3,4,5,5,4,5.0,0,0,0,0,0,5,5,5,5,5,0,0,0.0,0.0,5.0,0.0,0,0,0,0,0,0,0,0,3347767.0
74,0,1,12,7.5,6.0,6.0,2,8,10,8,8,8,8,8,6.0,12,10,12,9,9,20,15,6,4,25,10,8,10.0,2.5,12.5,2.5,20,9,15,4,12,12,12,4,5500818.0
75,0,0,5,5.0,4.0,5.0,1,4,5,3,4,4,5,3,4.0,0,0,0,0,0,5,5,5,5,4,0,0,0.0,0.0,5.0,0.0,0,0,0,0,0,0,0,0,16549064.0
76,0,0,2,2.0,4.0,4.0,2,2,5,5,5,5,2,5,5.0,0,0,0,0,0,3,4,1,2,1,0,0,0.0,0.0,2.0,3.0,0,0,0,0,0,0,0,0,4590423.0
77,0,0,3,5.0,3.0,5.0,3,4,5,4,4,4,5,4,4.0,0,0,0,0,0,5,5,1,3,1,0,0,0.0,0.0,3.0,2.0,0,0,0,0,0,0,0,0,1904842.0
78,0,1,9,7.5,6.0,7.5,8,6,10,10,8,8,4,6,6.0,3,2,9,3,12,25,12,6,2,10,4,4,5.0,2.5,7.5,2.5,20,9,20,4,18,12,12,2,3871344.0
79,1,1,4,5.0,4.0,3.0,1,3,5,5,5,5,1,5,5.0,2,2,4,2,4,3,3,1,4,4,3,3,3.0,2.0,2.0,3.0,4,5,5,3,3,4,4,3,6313221.0
80,0,0,4,5.0,4.0,5.0,1,3,5,5,5,5,2,5,5.0,0,0,0,0,0,3,5,2,5,3,0,0,0.0,0.0,5.0,1.0,0,0,0,0,0,0,0,0,3727364.0
81,0,0,2,4.0,4.0,4.0,1,3,5,4,5,5,3,5,5.0,0,0,0,0,0,2,4,2,2,1,0,0,0.0,0.0,2.0,3.0,0,0,0,0,0,0,0,0,4066618.0
82,1,0,2,2.0,4.0,3.0,2,1,5,4,5,5,5,5,5.0,0,0,0,0,0,5,4,2,2,2,0,0,0.0,0.0,2.0,3.0,0,0,0,0,0,0,0,0,3807496.0
83,0,1,2,4.0,4.0,4.0,2,5,5,4,5,4,3,5,4.0,4,4,5,5,5,2,4,1,2,1,5,5,5.0,1.0,2.0,3.0,5,5,5,3,4,4,5,3,5966193.0
84,0,1,4,4.0,5.0,3.0,1,3,5,5,5,5,2,5,5.0,3,2,4,1,4,1,3,2,2,3,3,2,3.0,5.0,2.0,3.0,4,3,3,2,4,4,3,1,4250553.0
85,0,0,3,5.0,4.0,4.0,2,5,5,4,5,4,3,5,4.0,0,0,0,0,0,1,4,1,1,1,0,0,0.0,0.0,2.0,3.0,0,0,0,0,0,0,0,0,7495092.0
86,1,0,3,3.0,4.0,4.0,2,2,5,4,5,5,3,5,5.0,0,0,0,0,0,3,5,1,3,2,0,0,0.0,0.0,2.0,3.0,0,0,0,0,0,0,0,0,3351383.0
87,0,0,5,5.0,4.0,4.0,1,3,5,5,4,4,2,4,4.0,0,0,0,0,0,5,5,3,4,2,0,0,0.0,0.0,5.0,2.0,0,0,0,0,0,0,0,0,5906596.0
88,1,0,1,2.0,5.0,4.0,1,2,1,4,5,5,3,5,5.0,0,0,0,0,0,1,1,1,1,1,0,0,0.0,0.0,1.0,2.0,0,0,0,0,0,0,0,0,2025297.0
89,0,1,1,1.0,4.0,3.0,1,2,1,5,5,5,1,5,5.0,1,1,1,1,1,2,1,1,1,1,1,1,1.0,5.0,1.0,3.0,5,4,4,3,3,4,2,3,2364478.0
90,0,0,12,7.5,6.0,6.0,2,8,10,10,8,8,4,8,6.0,0,0,0,0,0,15,9,3,3,5,0,0,0.0,0.0,5.0,7.5,0,0,0,0,0,0,0,0,3426169.0
91,1,1,3,5.0,4.0,4.0,1,2,5,5,5,5,1,5,5.0,0,0,0,0,0,3,2,1,2,2,0,0,0.0,0.0,1.0,3.0,0,0,0,0,0,0,0,0,2083447.0
92,0,0,12,7.5,7.5,6.0,2,10,10,8,8,10,8,8,7.5,0,0,0,0,0,25,15,6,3,25,0,0,0.0,0.0,10.0,7.5,0,0,0,0,0,0,0,0,6782425.0
93,1,1,3,4.0,4.0,4.0,1,2,5,4,4,5,4,4,5.0,5,5,3,2,4,3,5,1,3,1,2,2,2.0,1.0,2.0,2.0,3,1,4,3,4,5,5,3,3410878.0
94,1,0,2,3.0,4.0,4.0,2,2,5,5,5,5,1,5,5.0,3,2,4,1,3,3,2,1,2,1,5,1,2.0,5.0,1.0,3.0,4,4,3,4,4,4,3,5,3753720.0
95,1,0,2,4.0,4.0,4.0,2,2,5,5,5,5,2,5,5.0,0,0,0,0,0,1,1,1,1,1,0,0,0.0,0.0,1.0,3.0,0,0,0,0,0,0,0,0,1270499.0
96,1,0,4,5.0,2.0,4.0,2,2,5,4,4,4,3,4,4.0,0,0,0,0,0,3,2,1,2,3,0,0,0.0,0.0,2.0,2.0,0,0,0,0,0,0,0,0,6412623.0
97,0,0,3,5.0,4.0,4.0,1,4,5,4,5,4,4,5,4.0,0,0,0,0,0,4,5,2,4,5,0,0,0.0,0.0,5.0,1.0,0,0,0,0,0,0,0,0,6694797.0
98,1,0,3,4.0,4.0,4.0,1,2,5,2,4,5,5,4,5.0,0,0,0,0,0,3,5,1,3,1,0,0,0.0,0.0,2.0,3.0,0,0,0,0,0,0,0,0,2344689.0
99,0,1,4,5.0,4.0,4.0,2,4,5,4,4,4,5,3,4.0,5,5,5,5,5,5,5,5,3,1,5,5,5.0,1.0,5.0,1.0,5,5,4,2,5,5,5,3,13575224.0
100,0,0,3,5.0,4.0,4.0,2,5,5,5,5,5,2,5,5.0,0,0,0,0,0,4,5,2,2,1,0,0,0.0,0.0,4.0,3.0,0,0,0,0,0,0,0,0,9652350.0
101,1,1,3,4.0,5.0,4.0,2,2,5,4,5,5,4,5,5.0,5,4,5,5,4,5,5,4,2,5,1,1,1.0,0.0,2.0,3.0,5,5,5,5,4,5,5,4,4758476.0
102,1,0,4,5.0,2.0,5.0,2,2,5,4,4,4,3,4,4.0,0,0,0,0,0,4,4,1,2,3,0,0,0.0,0.0,1.0,3.0,0,0,0,0,0,0,0,0,2738052.0
103,1,0,2,4.0,4.0,4.0,1,2,5,5,5,5,2,5,5.0,0,0,0,0,0,2,3,1,2,1,0,0,0.0,0.0,2.0,2.0,0,0,0,0,0,0,0,0,4429512.0
104,1,1,4,5.0,4.0,3.0,1,3,5,5,5,5,2,5,5.0,1,2,2,1,3,2,5,1,3,4,1,1,4.0,3.0,2.0,3.0,5,5,3,3,5,4,3,2,4467728.0
105,1,0,1,2.0,5.0,3.0,1,2,1,5,5,5,1,5,5.0,0,0,0,0,0,1,1,1,1,1,0,0,0.0,0.0,1.0,2.0,0,0,0,0,0,0,0,0,2792031.0
106,1,0,3,3.0,6.0,6.0,4,2,2,8,10,10,6,10,7.5,0,0,0,0,0,5,3,3,1,5,0,0,0.0,0.0,2.5,7.5,0,0,0,0,0,0,0,0,4888774.0
107,1,1,4,4.0,4.0,4.0,1,2,5,4,5,5,3,5,5.0,3,5,5,3,4,5,5,3,3,5,2,2,2.0,3.0,3.0,1.0,5,5,5,3,4,4,4,3,3248660.0
108,1,0,1,2.0,5.0,4.0,1,2,1,5,4,4,2,4,3.0,0,0,0,0,0,1,1,1,1,1,0,0,0.0,0.0,2.0,3.0,0,0,0,0,0,0,0,0,3570392.0
109,0,0,2,4.0,3.0,5.0,4,5,5,4,4,4,5,4,4.0,0,0,0,0,0,1,2,1,1,1,0,0,0.0,0.0,3.0,2.0,0,0,0,0,0,0,0,0,4219263.0
110,1,1,6,3.0,6.0,6.0,4,4,10,8,10,10,6,10,7.5,9,8,12,3,12,10,12,6,1,10,2,2,2.5,2.5,5.0,7.5,15,3,15,6,18,12,16,6,2954086.0
111,1,0,2,3.0,4.0,4.0,2,1,5,5,5,5,1,5,5.0,0,0,0,0,0,1,1,1,1,1,0,0,0.0,0.0,2.0,3.0,0,0,0,0,0,0,0,0,2993069.0
112,0,1,4,5.0,5.0,4.0,1,5,5,5,4,4,2,4,4.0,3,4,2,1,4,2,3,2,2,1,3,3,4.0,5.0,3.0,3.0,3,2,1,2,2,1,3,3,3784230.0
113,1,0,3,4.0,4.0,4.0,1,2,5,5,5,5,2,5,5.0,0,0,0,0,0,2,3,1,2,1,0,0,0.0,0.0,2.0,2.0,0,0,0,0,0,0,0,0,2097022.0
114,1,1,4,5.0,5.0,4.0,2,2,5,4,5,5,3,5,5.0,3,4,3,1,3,5,5,4,5,5,3,3,3.0,2.0,4.0,1.0,5,3,3,2,3,4,3,1,4155435.0
115,0,1,6,4.5,6.0,6.0,4,8,10,10,10,10,4,10,7.5,6,4,12,6,12,5,9,3,2,5,8,8,10.0,12.5,5.0,7.5,25,15,25,4,18,12,16,8,4882985.0
116,0,0,2,4.0,4.0,4.0,2,2,5,4,4,5,3,4,5.0,0,0,0,0,0,2,2,1,1,1,0,0,0.0,0.0,3.0,3.0,0,0,0,0,0,0,0,0,8894598.0
117,0,1,3,5.0,4.0,5.0,3,3,5,4,4,5,4,2,5.0,1,3,3,1,4,5,5,4,2,2,1,1,1.0,1.0,3.0,1.0,3,3,3,2,3,4,3,1,2018785.0
118,0,1,12,7.5,7.5,4.5,2,10,10,10,10,10,4,10,7.5,3,4,9,3,3,10,15,3,4,5,6,4,7.5,5.0,10.0,5.0,25,6,10,4,18,12,12,2,1847826.0
119,0,1,4,5.0,4.0,4.0,2,3,5,5,5,5,1,5,5.0,0,0,0,0,0,2,2,2,1,1,0,0,0.0,0.0,2.0,3.0,0,0,0,0,0,0,0,0,3780019.0
120,1,0,2,3.0,4.0,4.0,2,2,5,4,5,5,3,5,5.0,0,0,0,0,0,5,4,2,2,3,0,0,0.0,0.0,2.0,3.0,0,0,0,0,0,0,0,0,4067566.0
121,0,0,2,4.0,4.0,4.0,2,3,5,5,5,4,2,5,4.0,0,0,0,0,0,2,2,1,1,1,0,0,0.0,0.0,2.0,3.0,0,0,0,0,0,0,0,0,3445076.0
122,0,1,12,7.5,6.0,7.5,2,8,10,8,8,8,10,6,6.0,15,8,12,6,9,25,15,9,5,15,6,10,10.0,5.0,12.5,2.5,25,15,25,6,18,3,16,6,4286645.0
123,1,0,1,1.0,4.0,3.0,1,1,1,4,5,5,3,5,5.0,0,0,0,0,0,1,1,1,1,1,0,0,0.0,0.0,2.0,3.0,0,0,0,0,0,0,0,0,4263629.0
124,0,2,1,3.0,0.0,5.0,5,5,1,5,5,5,2,5,5.0,0,0,0,0,0,1,2,2,1,2,0,0,0.0,0.0,2.0,3.0,0,0,0,0,0,0,0,0,3810007.0
125,1,1,9,6.0,6.0,6.0,4,6,10,6,8,10,10,8,7.5,9,10,15,3,12,15,15,9,2,25,6,4,7.5,2.5,5.0,7.5,20,9,15,4,24,12,16,2,4780607.0
126,1,1,3,3.0,4.0,4.0,2,2,5,4,5,5,3,5,5.0,1,5,4,2,4,5,5,2,1,4,3,3,3.0,2.0,2.0,3.0,5,5,5,4,2,5,3,2,4015749.0
127,1,0,3,4.0,4.0,4.0,2,2,5,5,5,5,1,5,5.0,0,0,0,0,0,3,2,1,2,1,0,0,0.0,0.0,3.0,3.0,0,0,0,0,0,0,0,0,7592272.0
128,0,0,2,4.0,4.0,4.0,1,2,5,5,5,5,1,5,5.0,0,0,0,0,0,1,1,1,1,1,0,0,0.0,0.0,3.0,2.0,0,0,0,0,0,0,0,0,2383840.0
129,1,0,4,5.0,5.0,4.0,2,2,5,4,5,5,3,5,5.0,0,0,0,0,0,5,5,4,5,5,0,0,0.0,0.0,4.0,1.0,0,0,0,0,0,0,0,0,3939804.0
130,1,0,3,4.0,3.0,4.0,2,1,5,5,5,5,2,5,5.0,0,0,0,0,0,3,1,1,1,1,0,0,0.0,0.0,2.0,3.0,0,0,0,0,0,0,0,0,3376145.0
131,0,0,3,4.0,4.0,5.0,3,4,5,4,4,4,5,4,4.0,0,0,0,0,0,4,5,1,2,1,0,0,0.0,0.0,3.0,2.0,0,0,0,0,0,0,0,0,3199619.0
132,1,0,2,3.0,3.0,5.0,4,2,4,4,4,4,4,4,4.0,0,0,0,0,0,4,3,2,1,1,0,0,0.0,0.0,2.0,3.0,0,0,0,0,0,0,0,0,5787594.0
133,0,0,4,5.0,4.0,4.0,2,3,5,4,4,5,5,4,5.0,0,0,0,0,0,3,2,2,1,1,0,0,0.0,0.0,3.0,3.0,0,0,0,0,0,0,0,0,9262754.0
